nation,lsoa,overall_local_score,income_score,employment_score,GB_IMD_E_score,original_decile,E_expanded_decile,GB_IMD_E_rank,GB_IMD_E_pop_decile,GB_IMD_E_pop_quintile
E,E01021988,92.735,56.89999999999999,53.400000000000006,92.735,1,1.0,1.0,1,1
W,W01000240,86.6,61.0,43.0,90.32499789325946,1,1.0,2.0,1,1
E,E01012673,88.774,60.9,45.9,88.774,1,1.0,3.0,1,1
E,E01012681,88.408,49.9,46.400000000000006,88.408,1,1.0,4.0,1,1
E,E01012672,88.139,47.4,39.6,88.139,1,1.0,5.0,1,1
E,E01012671,88.026,46.9,39.4,88.026,1,1.0,6.0,1,1
E,E01012751,88.023,54.900000000000006,45.1,88.023,1,1.0,7.0,1,1
E,E01012737,87.371,50.2,42.199999999999996,87.371,1,1.0,8.0,1,1
E,E01012670,87.112,54.300000000000004,39.2,87.112,1,1.0,9.0,1,1
E,E01012682,86.803,53.900000000000006,39.800000000000004,86.803,1,1.0,10.0,1,1
E,E01006547,84.368,45.5,36.8,84.368,1,1.0,11.0,1,1
E,E01012683,84.357,52.0,44.5,84.357,1,1.0,12.0,1,1
E,E01012674,83.919,46.1,37.4,83.919,1,1.0,13.0,1,1
E,E01006558,83.903,46.2,40.1,83.903,1,1.0,14.0,1,1
E,E01022025,83.878,46.300000000000004,49.2,83.878,1,1.0,15.0,1,1
E,E01024858,83.799,47.599999999999994,35.3,83.799,1,1.0,16.0,1,1
S,S01007465,86.05619961362788,47.0,35.0,83.74413411162121,1,1.0,17.0,1,1
W,W01000239,80.3,50.0,35.0,83.43082686874995,1,1.0,18.0,1,1
S,S01010891,89.20058602807558,48.0,44.0,83.38506333697939,1,1.0,19.0,1,1
S,S01010122,86.2874653157124,46.0,37.0,83.35038237440344,1,1.0,20.0,1,1
S,S01012068,87.51609178279996,50.0,39.0,83.06126659872179,1,1.0,21.0,1,1
W,W01001421,79.8,47.0,34.0,82.9608989045969,1,1.0,22.0,1,1
E,E01012679,82.897,48.699999999999996,34.300000000000004,82.897,1,1.0,23.0,1,1
S,S01007801,83.72270864723092,46.0,31.0,82.8282787607599,1,1.0,24.0,1,1
S,S01010245,88.56904062035917,51.0,42.0,82.79030064339287,1,1.0,25.0,1,1
E,E01024908,82.749,44.0,31.4,82.749,1,1.0,26.0,1,1
